Project #,County,System Name / Borrower,Description,Population,Project Cost,Score,Cumulative Total,emmali_notes,codes_if_scraped
19109,Niagara,ROYALTON (T) / Royalton (T),"Replacement of WM within the Hamlet of Gasport, Upgrade Distribution System","1,396","$6,430,000.00",25,"$4,072,057,594.00",,
19754,Putnam,KENT WD NO. 1 AND 2 / Kent (T),"Two new wells, storage tank replacement, and service connection relocation to increase CT, New Ground Water Source, Upgrade Storage, Upgrade Distribution System",480,"$1,478,300.00",25,"$4,073,535,894.00",,
19144,Suffolk,WEST NECK WATER SUPPLY / Shelter Island (T),"New Ground Water Source, Upgrade Distribution System",100,"$2,250,928.00",25,"$4,075,786,822.00",,
19160,Suffolk,SUFFOLK COUNTY WATER AUTHORITY / SCWA,"Replacement of Well No. 1A at the Adams Avenue Well Field., Upgrade Ground Water Source","1,009,264","$1,200,000.00",25,"$4,076,986,822.00",,
19494,Monroe,MONROE COUNTY WATER AUTHORITY / Monroe County Water Authority,"Shoremont WTP - Replacement of GAC media to remove PFOA/PFOS, Upgrade Water Treatment Plant","400,000","$3,050,000.00",25,"$4,080,036,822.00",,
18633,Nassau,HEMPSTEAD (V) / Hempstead (V),"Installation of two new wells and Chemical Feed/Control Bldg., New Other Expenses, New Ground Water Source, New Other (OT)","56,000",$0.00,25,"$4,080,036,822.00",,
19037,Ulster,ULSTER WATER DISTRICT / Ulster (T),"0.45 MG Storage Tank Replacement, Upgrade Storage","5,500","$1,880,000.00",25,"$4,081,916,822.00",,
18949,Dutchess,MILLERTON (V) / Millerton (V),"Replacement of watermain, minor updates to Well, Upgrade Distribution System","2,150","$6,280,454.00",25,"$4,088,197,276.00",,
19209,Cayuga,FAIR HAVEN VILLAGE / Fair Haven (V),"Replacement of Asbestos Cement Watermain, Upgrade Distribution System","1,000","$5,892,888.00",25,"$4,094,090,164.00",,
19397,Monroe,MONROE COUNTY WATER AUTH / MCWA,"Lead Service Line Inventory., Upgrade Distribution System","558,818","$25,390,000.00",25,"$4,119,480,164.00",,
18926,Monroe,MONROE COUNTY WATER AUTHORITY / Monroe County Water Authority,"Installation of emergency scrubber for chlorine gas treatment., Upgrade Other Expenses, Upgrade Other (OT)","200,000","$300,000.00",25,"$4,119,780,164.00",,
19237,Erie,ERIE COUNTY WATER AUTHORITY / Erie County Water Authority,"Union Road Watermain Replacement, Upgrade Distribution System","150,000","$10,439,606.00",25,"$4,130,219,770.00",,
19282,Erie,TONAWANDA (T) / Tonawanda (T),"Lead service line inventory., Upgrade Distribution System","88,990","$324,500.00",25,"$4,130,544,270.00",,
19620,Otsego,ONEONTA (C) / Oneonta (C),"Lead Service Line Replacement, Upgrade Distribution System","16,000","$2,100,000.00",25,"$4,132,644,270.00",,
19141,Rensselaer,RENSSELAER (C) PWS / Rensselaer (C),"Washington Avenue Main Replacement, Upgrade Distribution System","9,210","$3,219,551.00",25,"$4,135,863,821.00",,
18921,Niagara,NEWFANE WD#4 / Newfane (T),"Approximately 2,400 ft main replacement., Upgrade Distribution System","6,196","$1,102,615.00",25,"$4,136,966,436.00",,
19293,Seneca,WATERLOO (V) / Waterloo (V),"Lead Service Line Inventory., Upgrade Distribution System","4,924","$502,310.00",25,"$4,137,468,746.00",,
19404,Cortland,HOMER (V) / Homer (V),"Lead Service Line Inventory., Upgrade Distribution System","4,000","$1,050,600.00",25,"$4,138,519,346.00",,
19401,Onondaga,ELBRIDGE (T) / Elbridge (T),"Lead Service Line Inventory., Upgrade Distribution System","3,600","$442,656.00",25,"$4,138,962,225.00",,
19403,Onondaga,ELBRIDGE (V) / Elbridge (V),"Lead Service Line Inventory., Upgrade Distribution System","3,600","$288,144.00",25,"$4,139,250,146.00",,
19443,Albany,RAVENA (V) / Ravena (V),"Lead service line inventory., Upgrade Distribution System","3,271","$345,050.00",25,"$4,139,595,196.00",,
19274,Erie,AKRON (V) / Akron (V),"East Avenue Water Main Replacement, Upgrade Distribution System","3,085","$3,028,200.00",25,"$4,142,623,396.00",,
19121,Livingston,AVON TOWN WATER DISTRICT / Avon (T),"Townwide Water Main Replacement and Tank Improvements, Upgrade Storage, Upgrade Distribution System","3,000","$8,577,750.00",25,"$4,151,201,146.00",,
19449,Warren,LAKE LUZERNE (T) / Lake Luzerne (T),"Lead service line inventory., Upgrade Distribution System","2,500","$650,342.00",25,"$4,151,851,488.00",<- page 47,
19613,Cattaraugus,RANDOLPH (T) / Randolph (T),"Lead Service Line Inventory, Upgrade Distribution System","1,960","$563,000.00",25,"$4,152,414,488.00",,
19593,Westchester,MT. VERNON BOARD OF WATER / Mt. Vernon (C),"Lead Service Line Replacement., Upgrade Distribution System","1,200","$6,100,000.00",25,"$4,158,514,488.00",,
18230,Monroe,MONROE COUNTY WATER AUTHORITY / Monroe County Water Authority,Upgrade Distribution System,"1,000","$855,000.00",25,"$4,159,369,488.00",,
19551,Allegany,ALMOND (V) / Almond (V),"Mill St. & Maple Ridge Water Main Improvements Project, Upgrade Distribution System",690,"$1,025,000.00",25,"$4,160,394,488.00",,
19630,Delaware,FRANKLIN (V) / Franklin (V),"Lead Service Line Inventory., Upgrade Distribution System",342,"$201,465.00",25,"$4,160,595,953.00",,
19617,Cattaraugus,FRANKLINVILLE (V) / Franklinville (V),"Lead Service Line Replacement, Upgrade Distribution System",293,"$2,626,000.00",25,"$4,163,221,953.00",,
19615,Erie,ERIE COUNTY WA / Erie County Water Authority,"Lead Service Line Replacement, Upgrade Distribution System",117,"$910,000.00",25,"$4,164,131,953.00",,
19114,Erie,ERIE COUNTY WATER AUTHORITY / Erie County Water Authority,"Line Maintenance Facility at Sturgeon Point WTP, Upgrade Other Expenses, Upgrade Other (OT)","370,000","$2,997,200.00",25,"$4,167,129,153.00",,
19122,Erie,ERIE COUNTY WATER AUTHORITY / Erie County Water Authority,"Van De Water WTP and RWPS HVAC Upgrades, Upgrade Water Treatment Plant","180,000","$3,831,863.00",25,"$4,170,961,162.00",,
19002,Suffolk,DIX HILLS WATER DISTRICT / Dix Hills WD,"Rehabilitation at Plant No. 3 including replacement of well pumps and chemical system, Upgrade Water Treatment Plant","41,000","$4,634,000.00",20,"$4,175,595,162.00",,
19018,Nassau,LONG BEACH CITY / Long Beach (C),"Well 16A Replacement, New Ground Water Source","35,000","$4,993,440.00",20,"$4,180,588,456.00",,
19304,Nassau,BETHPAGE WATER DISTRICT / Bethpage WD,"Plant No. 5 Construction of building for existing AOP and GAC, Install redundant AOP, Upgrade Water Treatment Plant","28,100","$6,959,000.00",20,"$4,187,547,456.00",,
18961,Nassau,GLEN COVE CITY / Glen Cove (C),"Nancy Court Pump Station Upgrades., Upgrade Pump Station","28,000","$2,234,000.00",20,"$4,189,781,456.00",,
19383,Rensselaer,EAST GREENBUSH (T) / East Greenbush (T),"Cross Street Pump Station Rehabilitation, Upgrade Water Treatment Plant, Upgrade Pump Station","21,000","$2,199,600.00",20,"$4,191,981,562.00",,
18780,Dutchess,FISHKILL (V) / Fishkill (V),"Water System Upgrades and rehabilitation of existing wells, Upgrade Water Treatment Plant, Upgrade Ground Water Source, Upgrade Storage","11,289","$10,525,000.00",20,"$4,202,506,562.00",,
18615,Orange,NEW WELL SUPPLY: TROUT BROOK WELL FIELD / Woodbury (V),"New Well #11 with treatment at Trout Brook Well Field., New Water Treatment Plant, New Ground Water Source","10,741","$4,739,921.00",20,"$4,207,245,977.00",,
18901,Erie,BOSTON (T) / Boston (T),"Water Districts No.1 & 2 Water System Improvements, Upgrade Pump Station, Upgrade Distribution System","6,604","$16,123,067.00",20,"$4,223,369,432.00",,
19089,Orange,CHESTER VILLAGE / Chester (V),"Storage and WTP Improvements, Upgrade Water Treatment Plant, Upgrade Storage","3,448","$1,950,000.00",20,"$4,225,319,432.00",,
19235,Nassau,SANDS POINT (V) / Sands Point (V),"Construction of new supply well #9, New Ground Water Source","2,900","$7,337,000.00",20,"$4,232,656,432.00",,
18919,Genesee,MONROE COUNTY WA / Monroe County Water Authority,"1.5MG Tank Installation in Town of Pavilion., New Storage","8,820","$5,055,000.00",20,"$4,237,711,432.00",,
19218,Nassau,BAYVILLE (V) / Bayville (V),"Rehab of Plant No. 1-3, Upgrade Water Treatment Plant","8,800","$1,661,184.00",20,"$4,239,372,227.00",,
19047,Nassau,LOCUST VALLEY WD / Locust Valley WD,"Raise elevation of Pump Station No. 4 for resiliency and redundancy during storm events, Upgrade Water Treatment Plant","7,500","$3,150,000.00",20,"$4,242,522,227.00",,
19649,Genesee,BATAVIA (T) / Batavia (T),"Pearl Street Rd, Asbestos Cement WM Replacement, Upgrade Distribution System","6,293","$3,675,900.00",20,"$4,246,198,127.00",,
19345,Dutchess,RED HOOK WD NO. 1 / Red Hook (T),"Storage Tank Replacement on Kelly Road, Upgrade Storage","1,600","$4,338,900.00",20,"$4,250,537,272.00",,
18609,Livingston,LEICESTER (V) / Leicester (V),"Replacement of WM on South Pkwy, Pleasant St, & Maple Ln, Upgrade Distribution System",440,"$1,246,000.00",20,"$4,251,783,272.00",,
19614,Onondaga,ONONDAGA COUNTY WATER AUTHORITY / OCWA,"Lead Service Line Inventory, Upgrade Distribution System","500,000","$1,143,000.00",20,"$4,252,926,272.00",,
19602,NY City,NEW YORK CITY / NYCMWFA,"Lead Service Line Inventory., Upgrade Distribution System","215,564","$4,716,862.00",20,"$4,257,642,889.00",,
19336,Westchester,YONKERS (C) / Yonkers (C),"Lead Service Line Inventory., Upgrade Distribution System","211,569","$3,115,750.00",20,"$4,260,758,639.00",,
19315,Nassau,HICKSVILLE WD / Hicksville WD,"Lead service line inventory., Upgrade Distribution System","48,000","$1,086,200.00",20,"$4,261,844,839.00",,
19198,Wayne,WILLIAMSON (T) / Williamson (T),"Bennett St. Area Watermain Replacement, Upgrade Distribution System","6,757","$3,189,900.00",20,"$4,265,034,739.00",,
19286,Oneida,SHERRILL - KENWOOD WD / Sherrill (C),"Lead service line inventory., Upgrade Distribution System","3,500","$25,750.00",20,"$4,265,060,489.00",,
19380,Dutchess,MILLERTON (V) / Millerton (V),"Lead Service Line Inventory, Upgrade Distribution System","2,000","$128,000.00",20,"$4,265,188,489.00",,
19471,Jefferson,SACKETS HARBOR (V) / Sackets Harbor (V),"Lead service line inventory., Upgrade Distribution System","1,550","$54,610.00",20,"$4,265,243,100.00",,
18887,Essex,MINERVA WD / Minerva (T),"Replacement of Approx. 6,400-ft of water main., Upgrade Distribution System",800,$0.00,20,"$4,265,243,100.00",,
19875,Saratoga,WATERFORD WATER WORKS / Waterford (T),"Lead service line replacement., Upgrade Distribution System",366,"$2,208,887.00",20,"$4,267,451,986.00",,
19465,St.Lawrence,LISBON WD / Lisbon (T),"Lead service line inventory., Upgrade Distribution System",300,"$14,494.00",20,"$4,267,466,480.00",,
19214,Monroe,MONROE COUNTY WATER AUTHORITY / Monroe County Water Authority,"Glen Iris Dr. Watermain Replacement, Upgrade Distribution System",120,"$498,520.00",20,"$426,796,520.00",,
19135,Suffolk,SUFFOLK COUNTY WATER AUTHORITY / SCWA,"Replacement of Aging Production Well No. 1A at the Falcon Drive Well Field, Upgrade Ground Water Source","1,009,264","$1,200,000.00",15,"$426,916,515.00",,
19813,Nassau,PLAINVIEW WATER DISTRICT / Plainview WD,"Upgrade and improve interconnections., Upgrade Inter-Connection","202,164","$1,337,260.00",15,"$4,270,502,260.00",,
19845,Dutchess,POUGHKEEPSIE WATER TREATMENT FACILITY / Poughkeepsie JWB,"Filter underdrain replacement, Upgrade Water Treatment Plant","74,504","$4,415,700.00",15,"$4,274,917,960.00",,
19208,Nassau,JERICHO WD / Jericho WD,"Replacement of 1.5MG Syosset water storage tank., New Storage","58,000","$14,621,000.00",15,"$4,289,538,960.00",,
18796,Nassau,LONG BEACH (C) / Long Beach (C),"Replace Standpipe with new Storage Tank at Park Place WTP. , New Storage","35,000","$17,875,980.00",15,"$4,307,414,940.00",,
19275,Suffolk,RIVERHEAD WATER DISTRICT / Riverhead (T),"New Ground Storage Tank at East Wind Drive, New Storage","35,000","$10,250,000.00",15,"$4,317,664,940.00",,
15452,Nassau,PORT WASHINGTON WD / Port Washington Water District,Upgrade Storage,"34,000","$5,560,426.00",15,"$4,323,225,366.00",,
19678,Nassau,WATER AUTHORITY OF GREAT NECK NORTH / WA of Great Neck North,"Replacement of 19,000 LF of Asbestos Main, Upgrade Distribution System","32,400","$11,553,000.00",15,"$4,334,778,366.00",,
19220,Nassau,BETHPAGE WATER DISTRICT / Bethpage WD,"Installation of new North to South Transmission Main., New Transmission","28,100","$10,675,476.00",15,"$4,345,453,842.00",,
19756,Westchester,NEW CASTLE/STANWOOD W.D. / New Castle (T),"Metro-North Railroad Water Main Replacement, Upgrade Distribution System","18,311","$1,224,929.00",15,"$4,346,678,771.00",,
19562,Dutchess,BEACON (C) / Beacon (C),"Melzingah Reservoir Hypolimnetic Aeration System for HABs control., Upgrade Surface Water Source","14,370","$1,485,384.00",15,"$4,348,164,155.00",,
19564,Dutchess,BEACON (C) / Beacon (C),"Cargill Reservoir Hypolimnetic Aeration System for HABS control., Upgrade Surface Water Source","14,370","$2,727,167.00",15,"$4,350,891,322.00",,
19364,Ulster,LLOYD (T) / Lloyd (T),"Water storage tank replacement at Highland Water Treatment Facility, Upgrade Storage","11,133","$2,645,000.00",15,"$4,353,536,322.00",,
19139,Suffolk,SUFFOLK COUNTY WATER AUTHORITY / SCWA,"Replacement of Well No. 2A at the Oval Drive Well Field., Upgrade Ground Water Source","3,315","$1,200,000.00",15,"$4,354,736,322.00",,
19142,Suffolk,SUFFOLK COUNTY WATER AUTHORITY / SCWA,"Replacement of Well No. 3A at the Oval Drive Well Field., Upgrade Ground Water Source","3,315","$1,200,000.00",15,"$4,355,936,322.00",,
18591,Suffolk,SALTAIRE (V) / Saltaire (V),"Replace approximately 9,800 linear feet of water main., Upgrade Distribution System","2,500","$6,421,020.00",15,"$4,362,357,342.00",,
19737,Saratoga,STILLWATER WATER DISTRICT NO. 6 / Stillwater (T),"Replacement of water main in Water District No. 6, Upgrade Distribution System",170,"$2,639,000.00",15,"$4,364,996,342.00",,
19043,Orange,ARLUCK WATER DISTRICT / Wawayanda (T),"Interconnection between Arluck Water District and Denton Hills Water District, New Ground Water Source, New Inter-Connection",118,"$2,634,000.00",15,"$4,367,630,342.00",,
19374,Nassau,TOWN OF HEMPSTEAD / Hempstead (T),"Lead service line inventory., Upgrade Distribution System","130,000","$741,600.00",15,"$4,368,371,942.00",,
19880,Albany,LATHAM WATER DISTRICT / Colonie (T),"Lead service line inventory., Upgrade Distribution System","85,590","$2,039,679.00",15,"$4,370,411,621.00",,
19358,Nassau,JERICHO WD / Jericho WD,"Lead service line inventory., Upgrade Distribution System","58,000","$1,372,000.00",15,"$4,371,783,621.00",,
19359,Nassau,JERICHO WD / Jericho WD,"Lead service line replacement., Upgrade Distribution System","58,000","$9,292,000.00",15,"$4,381,075,621.00",,
19356,Nassau,FREEPORT (V) / Freeport (V),"Lead service line inventory., Upgrade Distribution System","44,199","$500,000.00",15,"$4,381,575,621.00",,
19038,Nassau,PORT WASHINGTON WD / Port Washington WD,"Neulist Avenue Well Station Upgrades, Upgrade Water Treatment Plant","34,000","$10,278,000.00",15,"$4,391,853,621.00",,
19373,Westchester,OSSINING WATER DEPARTMENT / Ossining (V),"Lead Service Line Replacement, Upgrade Distribution System","32,000","$3,441,000.00",15,"$4,395,294,621.00",,
19388,Westchester,OSSINING WATER DEPARTMENT / Ossining (V),"Lead Service Line Inventory, Upgrade Distribution System","32,000","$134,000.00",15,"$4,395,428,621.00",,
19325,Nassau,PORT WASHINGTON WD / Port Washington WD,"Lead service line inventory., Upgrade Distribution System","30,000","$1,236,000.00",15,"$4,396,664,621.00",,
19329,Orange,NEW WINDSOR CWD / New Windsor (T),"Lead Service Line Inventory, Upgrade Distribution System","29,500","$275,000.00",15,"$4,396,939,621.00",,
19601,Nassau,CITY OF GLEN COVE / Glen Cove (C),"Lead Service Line Inventory., Upgrade Distribution System","28,000","$309,000.00",15,"$4,397,248,621.00",,
19386,Orange,NEWBURGH CWD / Newburgh (T),"Lead Service Line Inventory, Upgrade Distribution System","23,000","$374,525.00",15,"$4,397,623,146.00",,
19363,Nassau,GARDEN CITY (V) / Garden City (V),"Lead service line inventory., Upgrade Distribution System","22,384","$3,468,100.00",15,"$4,401,091,246.00",,
19375,Nassau,MINEOLA (V) / Mineola (V),"Lead service line inventory., Upgrade Distribution System","20,600","$1,194,000.00",15,"$4,402,285,246.00",,
19322,Nassau,WESTBURY WD / Westbury WD,"Lead service line inventory., Upgrade Distribution System","20,500","$1,186,000.00",15,"$4,403,471,246.00",,
19353,Nassau,ROSLYN WD / Roslyn WD,"Lead service line inventory., Upgrade Distribution System","18,619","$3,811,510.00",15,"$4,407,282,756.00",,
19435,Dutchess,DUTCHESS COUNTY WWA / Dutchess County WA,"Lead Service Line Inventory, Upgrade Distribution System","15,979","$121,326.00",15,"$4,407,404,821.00",,
19323,Nassau,ALBERTSON WD / Albertson WD,"Lead service line inventory., Upgrade Distribution System","13,500","$1,156,000.00",15,"$4,408,560,821.00",,
19625,Rockland,SUFFERN (V) / Suffern (V),"Lead Service Line Inventory., Upgrade Distribution System","12,000","$662,545.00",15,"$4,409,222,627.00",,
19016,Orange,CORNWALL-ON-HUDSON / Cornwall-on-Hudson (V),"Mill Street Water Main Replacement, Upgrade Distribution System","9,300","$231,750.00",15,"$4,409,454,377.00",,
19324,Nassau,CARLE PLACE WD / Carle Place WD,"Lead service line inventory., Upgrade Distribution System","9,000","$1,145,000.00",15,"$4,410,599,377.00",,
19376,Nassau,WILLISTON PARK (V) / Williston Park (V),"Lead service line inventory., Upgrade Distribution System","7,300","$1,137,000.00",15,"$4,411,736,377.00",,
19377,Nassau,WILLISTON PARK (V) / Williston Park (V),"Lead service line replacement., Upgrade Distribution System","7,300","$7,307,070.00",15,"$4,419,043,447.00",,
19344,Westchester,LARCHMONT (V) / Larchmont (V),"Lead Service Line Inventory, Upgrade Distribution System","6,630","$2,510,728.00",15,"$4,421,554,175.00",,
19635,Orange,VILLAGE OF GOSHEN / Goshen (V),"Lead Service Line Inventory., Upgrade Distribution System","6,100","$842,478.00",15,"$4,422,396,653.00",,
19427,Franklin,SARANAC LAKE (V) / Saranac Lake (V),"Lead service line inventory., Upgrade Distribution System","5,800","$1,151,160.00",15,"$4,423,547,813.00",,
19355,Nassau,OLD WESTBURY (V) / Old Westbury (V),"Lead service line inventory., Upgrade Distribution System","4,600","$1,122,000.00",15,"$4,424,669,813.00",,
19390,Ulster,PORT EWEN WD / Esopus (T),"Lead Service Line Inventory, Upgrade Distribution System","4,500","$228,000.00",15,"$4,424,897,813.00",,
18211,Orange,HIGHLAND FALLS VILLAGE / Highland Falls (V),"Watermain Replacement, Upgrade Distribution System","4,400","$3,700,000.00",15,"$4,428,597,813.00",,
19347,Tompkins,BOLTON POINT / Cayuga Heights (V),"Lead Service Line Inventory, Upgrade Distribution System","3,600","$345,951.00",15,"$4,428,943,764.00",,
19348,Tompkins,BOLTON POINT / Cayuga Heights (V),"Lead Service Line Replacement, Upgrade Distribution System","3,600","$540,377.00",15,"$4,429,484,141.00",,
19394,Ulster,NEW PALTZ WD / New Paltz (T),"Lead Service Line Inventory., Upgrade Distribution System","1,775","$90,125.00",15,"$4,429,574,266.00",,
19389,Dutchess,RED HOOK WATER DISTRICT NO. 1 / Red Hook (T),"Lead Service Line Inventory, Upgrade Distribution System","1,600","$178,000.00",15,"$4,429,752,266.00",,
19439,Orange,MONROE (T) / Monroe (T),"Lead Service Line Inventory, Upgrade Distribution System","1,500","$91,250.00",15,"$4,429,843,516.00",,
18620,Columbia,KINDERHOOK (V) / Kinderhook (V),"Williams Street & Albany Avenue Water Main Replacement, AMI Meter System., Upgrade Distribution System","1,170","$1,954,500.00",15,"$4,431,798,161.00",,
19434,Columbia,KINDERHOOK (V) / Kinderhook (V),"Lead service line inventory., Upgrade Distribution System","1,100","$192,000.00",15,"$4,431,990,161.00",,
19381,Orange,FIRTHCLIFFE HEIGHTS WD / Cornwall (T),"Lead Service Line Inventory, Upgrade Distribution System",460,"$59,625.00",15,"$4,432,049,641.00",,
19310,Madison,MOUNT PLEASANT WD / Cazenovia (T),"Mount Pleasant WD Watermain Replacement, Upgrade Distribution System",60,"$750,000.00",15,"$4,432,799,641.00",,
19865,Nassau,WATER AUTH OF WESTERN NASSAU COUNTY / WAWNC,"Installation of additional AOP reactor at Station No. 57., Upgrade Water Treatment Plant","122,276","$1,573,000.00",10,"$4,434,372,641.00",,
19726,Suffolk,SOUTH HUNTINGTON WD / South Huntington WD,"Well No 8-2 Installation , New Ground Water Source","81,760","$5,890,000.00",10,"$4,440,262,641.00",,
19148,Suffolk,SUFFOLK COUNTY WATER AUTHORITY / SCWA,"Replacement of 10,000 feet of water main., Upgrade Distribution System","34,878","$3,427,391.00",10,"$4,443,690,321.00",,
19050,Nassau,WEST HEMPSTEAD WD / West Hempstead WD,"Birch Street WTP Electrical Resiliency Improvements, Upgrade Water Treatment Plant","32,031","$5,706,200.00",10,"$4,449,396,232.00",,
18643,Nassau,WA OF GREAT NECK NORTH / WAGNN,"Watermain replacement project, Upgrade Distribution System","31,400","$8,763,714.00",10,"$4,458,159,946.00",,
19413,Nassau,ROCKVILLE CENTRE (V) / Rockville Centre (V),"Replaacement of undersized distribution main along several roads, Upgrade Distribution System","24,700","$1,285,275.00",10,"$4,459,445,221.00",,
18837,Warren,QUEENSBURY WATER DISTRICT / Queensbury (T),"Ridge Road Water Main Improvements., Upgrade Distribution System","21,200","$1,415,000.00",10,"$4,460,860,221.00",,
19185,Westchester,SCARSDALE WATER DEPARTMENT / Scarsdale (V),"Rehabilitation of CI Main via Cement lining, Upgrade Distribution System","20,883","$3,533,500.00",10,"$4,464,393,721.00",,
19156,Orange,WALLKILL CONSOLIDATED WD / Wallkill (T),"Replacement of outdated meters with smart meters, Upgrade Distribution System","15,000","$6,530,052.00",10,"$4,470,923,773.00",,
18943,Rockland,SUFFERN (V) / Suffern (V),"Water meter replacement, Upgrade Distribution System","12,000","$2,275,004.00",10,"$4,473,198,777.00",,
19017,Orange,CORNWALL-ON-HUDSON / Cornwall-on-Hudson (V),"Chestnut Street Water Main Replacement, Upgrade Distribution System","9,300","$247,200.00",10,"$4,473,445,977.00",,
19511,Niagara,PENDLETON (T) / Pendleton (T),"Replacement of WM on Campbell Blvd, New Distribution System","7,035","$1,886,000.00",10,"$4,475,331,977.00",,
19503,Saratoga,STILLWATER (V) / Stillwater (V),"Hudson Ave Water Main Replacement, Upgrade Distribution System","1,954","$2,945,000.00",10,"$4,478,276,977.00",,
19557,Westchester,NEW CASTLE (T) / New Castle (T),"Water main replacement on Quaker Street, Upgrade Distribution System","1,590","$13,604,800.00",10,"$4,491,881,777.00",,
18447,Schenectady,PRINCETOWN WATER SUPPLY / Princetown (T),"Replacement of corroded distribution system components, Upgrade Distribution System",600,"$1,214,500.00",10,"$4,493,096,277.00",,
19566,Putnam,COLD SPRING (V) / Cold Spring (V),"Phillipstown Upper Dam Rehabilitation, Upgrade Surface Water Source","2,800","$7,749,000.00",5,"$4,500,845,277.00",,
