Rank,Project Sponsor,Project Number,PWSID,Project Name,Population,Building Cost,Support Cost,Estimated Cost,Cat A,Cat B,Cat C.a,Cat C.b,Cat C.c,Cat C.d,Cat D,Cat E,Rank Points,"BIL
Eligibility"
591,Mount Arlington Borough,1426005-002,NJ1426005,"Windemere, Altenbrand, North Glen and Park Water
Main Extension",98,878000,512000,1202100,1,0,15,0,0,0,0,0.02229,16.02229,
592,Allentown Borough,1302001-001,NJ1302001,Asset Management Plan,1788,42500,713244,51000,1,0,15,0,0,0,0,0.02,16.02,
594,Marlboro Township,1328002-004,NJ1328002,"New Stand-by Well 5A (Tennent Rd Treatment Plant &
Booster Pump Station)",27000,933000,419850,1352850,15,0,0,0,0,0,0,0.2948,15.2948,
595,Lacey Township,1512001-001,NJ1512001,Construction of two test wells # 7 and 8,26240,1846000,396160,2242160,15,0,0,0,0,0,0,0.2624,15.2624,
595,Lacey Township,1512001-002,NJ1512001,Upgrade of WTP to make wells # 7 and 8 operational,26240,2895200,56464,2951664,15,0,0,0,0,0,0,0.2624,15.2624,
596,Oakland Borough,0220001-001,NJ0220001,Construct new Well 10A as backup for Well 10,12959,100000,45000,145000,15,0,0,0,0,0,0,0.12959,15.12959,
599,East Hanover Township,1410001-002,NJ1410001,New Water Treatment Plant for Well 6,10000,2275000,1261000,3536000,15,0,0,0,0,0,0,0.1,15.1,
600,Harvey Cedars Borough,1509001-002,NJ1509001,Installation of a Water Monitoring Well,3165,719000,323550,1042550,15,0,0,0,0,0,0,0.0316467,15.03165,
601,Pine Beach Borough,1522001-002,NJ1522001,"Merion Ave. Well Replacement / Townwide Water Meter
Replacement Project",2080,325000,187160,512160,15,0,0,0,0,0,0,0.0208,15.0208,
602,West Milford Municipal Utilities Authority,1615016-003,NJ1615016,Rehabilitation of Well,1625,132000,125400,257400,15,0,0,0,0,0,0,0.01625,15.01625,
603,Farmingdale Borough,1314001-001,NJ1314001,"Redevelop well #3; upgrade control system for well #3 &
4, misc improvements to the WTP",1500,446000,89200,535200,15,0,0,0,0,0,0,0.015,15.015,BIL (GEN)
604,West Milford Municipal Utilities Authority,1615018-003,NJ1615018,Rehabilitation of Well,1260,66000,46200,112200,15,0,0,0,0,0,0,0.0126,15.0126,
605,"NJ American Water Company, Incorporated",0809001-001,NJ0809001,Beckett Well Replacement,1085,450000,176108,626108,15,0,0,0,0,0,0,0.01085,15.01085,
606,West Milford Municipal Utilities Authority,1615012-003,NJ1615012,Rehabilitation of Well,635,90000,85500,175500,15,0,0,0,0,0,0,0.00635,15.00635,
607,West Milford Municipal Utilities Authority,1615001-003,NJ1615001,Rehabilitation of Well,180,60000,57000,117000,15,0,0,0,0,0,0,0.0018,15.0018,
608,West Milford Municipal Utilities Authority,1615006-003,NJ1615006,Rehabilitation of Well,115,66000,62700,128700,15,0,0,0,0,0,0,0.00115,15.00115,
609,Colby Homeowners Association Water Company,1904007-001,NJ1904007,Installation of back up well,75,100000,70000,170000,15,0,0,0,0,0,0,0.00075,15.00075,
610,South Orange Village,0719001-011,NJ0719001,Flush Valve Removal,16198,188546,84845,273391,1,0,0,5,0,0,0,0.16198,6.16198,
611,"NJ American Water Company, Incorporated",1345001-004,NJ1345001,Howell Water Mains - Freewood Acres,335449,5162000,1230970,6194400,1,0,0,0,0,0,0,3.35449,4.35449,
612,"NJ American Water Company, Incorporated",0712001-013,NJ0712001,Installation of water mains at redevelopment project,217230,1000000,704000,1704000,1,0,0,0,0,0,0,2.1723,3.1723,
614,"Washington Township Municipal Utilities
Authority",0818004-002,NJ0818004,WTMUA Complex,48559,5000000,1931500,6420000,1,0,0,0,0,0,0,0.48,1.48,
615,Sayreville Borough,1219001-005,NJ1219001,"Construct new transmission mains in the northeast
section of the Borough",40377,1000000,660000,1660000,1,0,0,0,0,0,0,0.40377,1.40377,
617,Marlboro Township,1328002-501/001,NJ1328002,portable genertor @ Harbor Rd & Tennent Rd WTP,40191,1000000,450000,1450000,1,0,0,0,0,0,0,0.40191,1.40191,
618,Mahwah Township,0233001-009,NJ0233001,Construction of two new wells,24062,600000,420000,1020000,1,0,0,0,0,0,0,0.24062,1.24062,
619,Montville Township,1421003-001,NJ1421003,"Installation of 2,300 LF of 8 inch water main and appurtances on Hillcrest and Upper Mountain Avenues",21000,325000,227500,552500,1,0,0,0,0,0,0,0.21,1.21,
620,Verona Township,0720001-001,NJ0720001,Water Utility Asset Management Plan,14572,55000,2492000,66000,1,0,0,0,0,0,0,0.13641,1.13641,
621,Ridgefield Park Village,0238001-002,NJ0238001,"Village of Ridgefield Park Skymark Project -- Drinking
Water",12729,1281937,159170,1752307,1,0,0,0,0,0,0,0.12729,1.12729,
622,Jefferson Township,1414011-002,NJ1414011,Water System Asset Management Plan,8500,100000,,120000,1,0,0,0,0,0,0,0.085,1.085,
623,Spotswood Borough,1224001-002,NJ1224001,SPOTSWOOD WATER MASTER PLAN,8257,$-,85265,85265,1,0,0,0,0,0,0,0.08257,1.08257,
625,Woodland Park Borough,1616001-001,NJ1616001,"Extension of water mains to service homes that are on
private wells",5030,1730000,1021200,2751200,1,0,0,0,0,0,0,0.0503,1.0503,
627,High Bridge Borough,1014001-001,NJ1014001,"Asset Management Plan for the High Bridge Water
System",3900,$-,25000,25000,1,0,0,0,0,0,0,0.039,1.039,
628,Pennington Borough,1108001-004,NJ1108001,Asset Management Plan for Pennington Water Utility,2585,300000,,360000,1,0,0,0,0,0,0,0.026,1.026,
629,Pennington Borough,1108001-003,NJ1108001,Asset Management Plan for Pennington Water Utility,2585,100000,3971626,120000,1,0,0,0,0,0,0,0.02585,1.02585,
630,Sea Girt Borough,1344001-005,NJ1344001,Sea Girt Borough CMMS,2552,$-,100000,100000,1,0,0,0,0,0,0,0.02552,1.02552,
631,Hardyston Municipal Utilities Authority,1911006-003,NJ1911006,Asset Management Plan,1963,$-,100000,100000,1,0,0,0,0,0,0,0.01963,1.01963,
